word,good,bad
leapt,5046,230
loath,5046,230
manor,5046,230
mohel,5046,230
molar,5046,230
nomad,5046,230
paled,5046,230
pedal,5046,230
pined,5046,230
plank,5046,230
plein,5046,230
robed,5046,230
roman,5046,230
roped,5046,230
rumps,5046,230
smite,5046,230
snipe,5046,230
spine,5046,230
thief,5046,230
treap,5046,230
wiped,5046,230
badge,5045,231
blitz,5045,231
cheap,5045,231
clasp,5045,231
fetch,5045,231
melon,5045,231
mufti,5045,231
noble,5045,231
packs,5045,231
panty,5045,231
pawls,5045,231
pelts,5045,231
phone,5045,231
pored,5045,231
rumba,5045,231
skimp,5045,231
tamer,5045,231
thunk,5045,231
tiler,5045,231
chert,5044,232
clang,5044,232
coped,5044,232
crawl,5044,232
dogma,5044,232
getup,5044,232
gloms,5044,232
grand,5044,232
limed,5044,232
lumps,5044,232
pilaf,5044,232
ports,5044,232
profs,5044,232
sloth,5044,232
smirk,5044,232
spade,5044,232
stack,5044,232
timed,5044,232
timer,5044,232
vapor,5044,232
width,5044,232
altho,5043,233
balds,5043,233
bowed,5043,233
burnt,5043,233
cargo,5043,233
claps,5043,233
crime,5043,233
cruft,5043,233
depth,5524,233
flams,5043,233
homed,5043,233
miter,5043,233
moral,5043,233
poach,5043,233
raped,5043,233
remit,5043,233
sable,5043,233
smelt,5043,233
traps,5043,233
turps,5043,233
bards,5042,234
bathe,5042,234
chalk,5042,234
cloak,5042,234
dwelt,5042,234
empty,5523,234
flick,5042,234
lemon,5042,234
lobed,5042,234
mince,5042,234
month,5523,234
owlet,5042,234
peril,5042,234
photo,5042,234
pismo,5042,234
pivot,5042,234
poler,5042,234
slack,5042,234
smith,5042,234
spank,5042,234
spire,5042,234
swirl,5042,234
veldt,5042,234
wench,5042,234
witch,5042,234
biter,5041,235
blest,5041,235
brink,5041,235
bumpy,5041,235
cable,5041,235
calms,5041,235
carol,5041,235
caron,5041,235
cleat,5041,235
clips,5041,235
corms,5041,235
drabs,5041,235
duple,5041,235
flack,5041,235
haply,5041,235
kelpy,5041,235
madly,5041,235
merit,5041,235
pasty,5041,235
pinto,5041,235
prank,5041,235
pylon,5041,235
redip,5041,235
scrim,5041,235
unapt,5041,235
bared,5040,236
blurt,5040,236
bream,5040,236
brute,5040,236
butch,5040,236
corps,5040,236
craft,5040,236
crank,5040,236
darns,5040,236
dicot,5040,236
donut,5040,236
fibre,5040,236
firma,5040,236
focal,5040,236
lards,5040,236
laths,5040,236
mater,5040,236
pacer,5040,236
plink,5040,236
scrum,5040,236
smurf,5040,236
spied,5040,236
tonal,5040,236
trend,5040,236
trims,5040,236
vitam,5040,236
wilco,5040,236
wimps,5040,236
abort,5039,237
bacon,5039,237
bagel,5039,237
barmy,5039,237
carte,5039,237
climb,5520,237
debar,5039,237
dorms,5039,237
felon,5039,237
horde,5039,237
leant,5039,237
lumen,5039,237
mined,5039,237
